name,url
2018年惊悚悬疑《守塔人》BD中英双字幕,http://www.ygdy8.net/html/gndy/dyzz/20190107/58017.html
2018年剧情犯罪《白人男孩瑞克》BD中英双字幕,http://www.ygdy8.net/html/gndy/dyzz/20190107/58016.html
2018年喜剧《无名之辈/慌枪走板》HD国语中字,http://www.ygdy8.net/html/gndy/dyzz/20190104/57998.html
2018年悬疑喜剧《切小金家的旅馆》BD国语中字,http://www.ygdy8.net/html/gndy/dyzz/20190104/57997.html
2018年奇幻冒险《七大罪：天空的囚人》BD中英双字幕,http://www.ygdy8.net/html/gndy/dyzz/20190104/57996.html
2018年动作《冰封侠：时空行者》BD国粤双语中字,http://www.ygdy8.net/html/gndy/dyzz/20190103/57994.html
2018年惊悚动作《艾什》BD中英双字幕,http://www.ygdy8.net/html/gndy/dyzz/20190103/57993.html
2018年科幻《黑镜：潘达斯奈基》BD中英双字幕,http://www.ygdy8.net/html/gndy/dyzz/20190101/57979.html
2018年动作《愤怒的黄牛》BD韩语中字,http://www.ygdy8.net/html/gndy/dyzz/20190101/57978.html
2018年喜剧《90年代中期》BD中英双字幕,http://www.ygdy8.net/html/gndy/dyzz/20190101/57977.html
2017年动作喜剧《盗潜黄金城》BD中英双字幕,http://www.ygdy8.net/html/gndy/dyzz/20181231/57976.html
2018年动作《22号追击者》BD中英双字幕,http://www.ygdy8.net/html/gndy/dyzz/20181231/57975.html
2018年动作《黄金兄弟》BD粤语中字,http://www.ygdy8.net/html/gndy/dyzz/20181228/57965.html
2018年科幻冒险《机器猛犬》BD中英双字幕,http://www.ygdy8.net/html/gndy/dyzz/20181226/57961.html
2018年奇幻《神奇动物：格林德沃之罪》HD韩版中英双字幕,http://www.ygdy8.net/html/gndy/dyzz/20181225/57958.html
2018年科幻动作《毒液：致命守护者》BD国英双语双字,http://www.ygdy8.net/html/gndy/dyzz/20181224/57956.html
2018年悬疑惊悚《皇家酒店谋杀案》BD中英双字幕,http://www.ygdy8.net/html/gndy/dyzz/20181224/57955.html
2018年惊悚恐怖《月光光心慌慌》BD中英双字幕,http://www.ygdy8.net/html/gndy/dyzz/20181223/57951.html
2018年悬疑喜剧《欢乐时光谋杀案》BD中英双字幕,http://www.ygdy8.net/html/gndy/dyzz/20181223/57950.html
2018年剧情《女人之名/抗争天使》BD中字,http://www.ygdy8.net/html/gndy/dyzz/20181222/57945.html
2018年悬疑惊悚《黑暗迷宫》HD国语中英双字,http://www.ygdy8.net/html/gndy/dyzz/20181222/57944.html
2018年剧情动作《无双》HD国语中字,http://www.ygdy8.net/html/gndy/dyzz/20181221/57940.html
2018年西部冒险《希斯特斯兄弟》BD中英双字幕,http://www.ygdy8.net/html/gndy/dyzz/20181221/57939.html
2018年动作喜剧《憨豆特工3》BD中英双字幕,http://www.ygdy8.net/html/gndy/dyzz/20181220/57938.html
2018年剧情《丽兹/裸爱杀机》BD中英双字幕,http://www.ygdy8.net/html/gndy/dyzz/20181219/57935.html
2018年动作《保镖》BD英语中字,http://www.ygdy8.net/html/gndy/dyzz/20181219/57934.html
2018年高分获奖剧情《登月第一人》BD中英双字幕,http://www.ygdy8.net/html/gndy/dyzz/20181218/57932.html
2018年动作《回溯者》BD中英双字幕,http://www.ygdy8.net/html/gndy/dyzz/20181217/57929.html
2018年喜剧《李茶的姑妈》HD国语中英双字,http://www.ygdy8.net/html/gndy/dyzz/20181216/57927.html
2018年剧情《宝贝儿》HD国语中英双字,http://www.ygdy8.net/html/gndy/dyzz/20181214/57922.html
2018年喜剧《动物之家婚礼记》BD法语中字,http://www.ygdy8.net/html/gndy/dyzz/20181214/57921.html
2018年悬疑《一个小忙/失踪网红》BD中英双字幕,http://www.ygdy8.net/html/gndy/dyzz/20181213/57918.html
2018年惊悚《河流如血》BD中英双字幕,http://www.ygdy8.net/html/gndy/dyzz/20181213/57917.html
2018年高分喜剧恐怖《摄影机不要停！》BD日语中字,http://www.ygdy8.net/html/gndy/dyzz/20181212/57912.html
2018年剧情冒险《森林之子毛克利》BD中英双字幕,http://www.ygdy8.net/html/gndy/dyzz/20181210/57905.html
2018年剧情冒险《森林之子毛克利》BD中英双字幕,http://www.ygdy8.net/html/gndy/dyzz/20181210/57904.html
2018年剧情爱情《你好，之华》HD国语中字,http://www.ygdy8.net/html/gndy/dyzz/20181209/57899.html
2018年高分获奖剧情《阿拉姜色》HD国语中字,http://www.ygdy8.net/html/gndy/dyzz/20181208/57891.html
2018年动画《昨日青空》HD国语中字,http://www.ygdy8.net/html/gndy/dyzz/20181207/57884.html
2018年动作喜剧《胖子行动队》HD国语中英双字,http://www.ygdy8.net/html/gndy/dyzz/20181207/57883.html
2018年剧情《找到你/谜踪》HD国语中字,http://www.ygdy8.net/html/gndy/dyzz/20181206/57877.html
2018年动画喜剧《雪怪大冒险》BD中英双字幕,http://www.ygdy8.net/html/gndy/dyzz/20181205/57875.html
2018年恐怖动作《猖獗/尸杀帝国》BD韩语中字,http://www.ygdy8.net/html/gndy/dyzz/20181204/57873.html
2018年悬疑《拉普拉斯的魔女》BD日语中字,http://www.ygdy8.net/html/gndy/dyzz/20181204/57872.html
2018年动作《影/荆州保卫战》HD国语中英双字,http://www.ygdy8.net/html/gndy/dyzz/20181201/57841.html
2018年惊悚剧情《嗝嗝老师》BD中英双字幕,http://www.ygdy8.net/html/gndy/dyzz/20181201/57840.html
2018年科幻动作《毒液：致命守护者》HD中英双字幕,http://www.ygdy8.net/html/gndy/dyzz/20181130/57837.html
2018年获奖传记喜剧《黑色党徒》BD中英双字幕,http://www.ygdy8.net/html/gndy/dyzz/20181130/57836.html
2018年喜剧奇幻《滴答屋》BD中英双字幕,http://www.ygdy8.net/html/gndy/dyzz/20181130/57835.html
2018年动作《功夫联盟》HD国粤双语中字,http://www.ygdy8.net/html/gndy/dyzz/20181129/57833.html
2018年动作《孤狼之血》BD日语中字,http://www.ygdy8.net/html/gndy/dyzz/20181129/57832.html
2018年科幻动作《铁血战士》HD中英双字幕,http://www.ygdy8.net/html/gndy/dyzz/20181128/57830.html
2018年剧情励志《兄弟班》BD国粤双语中字,http://www.ygdy8.net/html/gndy/dyzz/20181128/57826.html
2018年喜剧《拯救圣诞记》BD中英双字幕,http://www.ygdy8.net/html/gndy/dyzz/20181126/57822.html
2018年高分获奖剧情《大象席地而坐》HD国语中字,http://www.ygdy8.net/html/gndy/dyzz/20181125/57811.html
2018年悬疑惊悚《网络谜踪》BD中英双字幕,http://www.ygdy8.net/html/gndy/dyzz/20181125/57810.html
2018年黄渤舒淇王宝强喜剧《一出好戏》BD国语中字,http://www.ygdy8.net/html/gndy/dyzz/20181124/57807.html
2018年高分剧情音乐《一个明星的诞生》BD韩版中英双字幕,http://www.ygdy8.net/html/gndy/dyzz/20181124/57806.html
2018年姜文彭于晏动作《邪不压正》HD国语中字,http://www.ygdy8.net/html/gndy/dyzz/20181123/57805.html
2018年惊悚动作《薄荷杀手》BD中英双字幕,http://www.ygdy8.net/html/gndy/dyzz/20181122/57804.html
2018年动作《反贪风暴3》BD国粤双语中字,http://www.ygdy8.net/html/gndy/dyzz/20181122/57803.html
2018年获奖动画《幸福路上》BD国语中字,http://www.ygdy8.net/html/gndy/dyzz/20181122/57802.html
2018年西部片《巴斯特·斯克鲁格斯的歌谣》BD中英双字幕,http://www.ygdy8.net/html/gndy/dyzz/20181120/57798.html
2018年动作喜剧《我的间谍前男友》BD国英双语双字,http://www.ygdy8.net/html/gndy/dyzz/20181119/57795.html
2018年科幻剧情《乔纳森》BD中英双字幕,http://www.ygdy8.net/html/gndy/dyzz/20181119/57794.html
2018年纪录片《张艺谋和他的“影”》HD国语中字,http://www.ygdy8.net/html/gndy/dyzz/20181119/57791.html
